# forestry
# 5.6.0.201
Beekeeping statistics for TextComponent{text='', siblings=[TextComponent{text='gchpaco', siblings=[], style=Style{hasParent=true, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=ClickEvent{action=SUGGEST_COMMAND, value='/msg gchpaco '}, hoverEvent=HoverEvent{action=SHOW_ENTITY, value='TextComponent{text='{name:"gchpaco",id:"a1c40d68-8734-4e16-9716-69c63bea6f15"}', siblings=[], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=null, hoverEvent=null, insertion=null}}'}, insertion=gchpaco}}], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=ClickEvent{action=SUGGEST_COMMAND, value='/msg gchpaco '}, hoverEvent=HoverEvent{action=SHOW_ENTITY, value='TextComponent{text='{name:"gchpaco",id:"a1c40d68-8734-4e16-9716-69c63bea6f15"}', siblings=[], style=Style{hasParent=false, color=null, bold=null, italic=null, underlined=null, obfuscated=null, clickEvent=null, hoverEvent=null, insertion=null}}'}, insertion=gchpaco}} on 10/20/17 12:04 AM:

Mode: NORMAL

Discovered:
-----------
Queen:		6
Princess:	5
Drone:		17

Species (157):
--------------
X: Discovered
BL: Blacklisted
NC: Not counted for the species total

[ X  ] [ BL ] [ NC ]	UID                                      Species              Authority           
-------------------------------------------------------------------------------------------------------

[ X  ] [    ] [    ]	forestry.speciesForest                   Forest               Sengir              
[ X  ] [    ] [    ]	forestry.speciesMeadows                  Meadows              Sengir              
[ X  ] [    ] [    ]	forestry.speciesCommon                   Common               Sengir              
[    ] [    ] [    ]	forestry.speciesCultivated               Cultivated           Sengir              
[    ] [    ] [    ]	forestry.speciesNoble                    Noble                Sengir              
[    ] [    ] [    ]	forestry.speciesMajestic                 Majestic             Sengir              
[    ] [    ] [    ]	forestry.speciesImperial                 Imperial             Sengir              
[    ] [    ] [    ]	forestry.speciesDiligent                 Diligent             Sengir              
[    ] [    ] [    ]	forestry.speciesUnweary                  Unweary              Sengir              
[    ] [    ] [    ]	forestry.speciesIndustrious              Industrious          Sengir              
[    ] [    ] [    ]	forestry.speciesSteadfast                Steadfast            Sengir              
[    ] [    ] [    ]	forestry.speciesValiant                  Valiant              Sengir              
[    ] [    ] [    ]	forestry.speciesHeroic                   Heroic               Sengir              
[    ] [    ] [    ]	forestry.speciesSinister                 Sinister             Sengir              
[    ] [    ] [    ]	forestry.speciesFiendish                 Fiendish             Sengir              
[    ] [    ] [    ]	forestry.speciesDemonic                  Demonic              Sengir              
[    ] [    ] [    ]	forestry.speciesModest                   Modest               Sengir              
[    ] [    ] [    ]	forestry.speciesFrugal                   Frugal               Sengir              
[    ] [    ] [    ]	forestry.speciesAustere                  Austere              Sengir              
[    ] [    ] [    ]	forestry.speciesTropical                 Tropical             Sengir              
[    ] [    ] [    ]	forestry.speciesExotic                   Exotic               Sengir              
[    ] [    ] [    ]	forestry.speciesEdenic                   Edenic               Sengir              
[    ] [    ] [    ]	forestry.speciesEnded                    Ender                Sengir              
[    ] [    ] [    ]	forestry.speciesSpectral                 Spectral             Sengir              
[    ] [    ] [    ]	forestry.speciesPhantasmal               Phantasmal           Sengir              
[ X  ] [    ] [    ]	forestry.speciesWintry                   Wintry               Sengir              
[    ] [    ] [    ]	forestry.speciesIcy                      Icy                  Sengir              
[    ] [    ] [    ]	forestry.speciesGlacial                  Glacial              Sengir              
[    ] [    ] [ NC ]	forestry.speciesVindictive               Vindictive           Sengir              
[    ] [    ] [ NC ]	forestry.speciesVengeful                 Vengeful             Sengir              
[    ] [    ] [ NC ]	forestry.speciesAvenging                 Avenging             Sengir              
[    ] [    ] [ NC ]	forestry.speciesLeporine                 Leporine             Sengir              
[    ] [    ] [ NC ]	forestry.speciesMerry                    Merry                Sengir              
[    ] [    ] [ NC ]	forestry.speciesTipsy                    Tipsy                Sengir              
[    ] [    ] [ NC ]	forestry.speciesTricky                   Tricky               Sengir              
[    ] [    ] [    ]	forestry.speciesRural                    Rural                Sengir              
